Rank;CCA3;Country/Territory;Capital;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (km²);Density (per km²);Growth Rate;World Population Percentage
36;AFG;Afghanistan;Kabul;Asia;41128771;38972230;33753499;28189672;19542982;10694796;12486631;10752971;652230;630587;10257;52
138;ALB;Albania;Tirana;Europe;2842321;2866849;2882481;2913399;3182021;3295066;2941651;2324731;28748;988702;9957;4
34;DZA;Algeria;Algiers;Africa;44903225;43451666;39543154;35856344;30774621;25518074;18739378;13795915;2381741;188531;10164;56
213;ASM;American Samoa;Pago Pago;Oceania;44273;46189;51368;54849;58230;47818;32886;27075;199;2224774;9831;0
203;AND;Andorra;Andorra la Vella;Europe;79824;77700;71746;71519;66097;53569;35611;19860;468;1705641;101;0
42;AGO;Angola;Luanda;Africa;35588987;33428485;28127721;23364185;16394062;11828638;8330047;6029700;1246700;285466;10315;45
224;AIA;Anguilla;The Valley;North America;15857;15585;14525;13172;11047;8316;6560;6283;91;1742527;10066;0
201;ATG;Antigua and Barbuda;Saint John’s;North America;93763;92664;89941;85695;75055;63328;64888;64516;442;2121335;10058;0
33;ARG;Argentina;Buenos Aires;South America;45510318;45036032;43257065;41100123;37070774;32637657;28024803;23842803;2780400;163683;10052;57
140;ARM;Armenia;Yerevan;Asia;2780469;2805608;2878595;2946293;3168523;3556539;3135123;2534377;29743;934831;9962;3
198;ABW;Aruba;Oranjestad;North America;106445;106585;104257;100341;89101;65712;62267;59106;180;5913611;9991;0
55;AUS;Australia;Canberra;Oceania;26177413;25670051;23820236;22019168;19017963;17048003;14706322;12595034;7692024;34032;10099;33
99;AUT;Austria;Vienna;Europe;8939617;8907777;8642421;8362829;8010428;7678729;7547561;7465301;83871;1065877;1002;11
91;AZE;Azerbaijan;Baku;Asia;10358074;10284951;9863480;9237202;8190337;7427836;6383060;5425317;86600;1196082;10044;13
176;BHS;Bahamas;Nassau;North America;409984;406471;392697;373272;325014;270679;223752;179129;13943;294043;10051;1
154;BHR;Bahrain;Manama;Asia;1472233;1477469;1362142;1213645;711442;517418;362595;222555;765;19244876;10061;2
8;BGD;Bangladesh;Dhaka;Asia;171186372;167420951;157830000;148391139;129193327;107147651;83929765;67541860;147570;1160035;10108;215
186;BRB;Barbados;Bridgetown;North America;281635;280693;278083;274711;264657;258868;253575;241397;430;6549651;10015;0
96;BLR;Belarus;Minsk;Europe;9534954;9633740;9700609;9731427;10256483;10428525;9817257;9170786;207600;459295;9955;12
81;BEL;Belgium;Brussels;Europe;11655930;11561717;11248303;10877947;10264343;9959560;9828986;9629376;30528;3818111;10038;15
177;BLZ;Belize;Belmopan;North America;405272;394921;359871;322106;240406;182589;145133;120905;22966;176466;10131;1
77;BEN;Benin;Porto-Novo;Africa;13352864;12643123;10932783;9445710;6998023;5133419;3833939;3023443;112622;1185635;10274;17
206;BMU;Bermuda;Hamilton;North America;64184;64031;63144;63447;61371;57470;53565;52019;54;11885926;1;0
165;BTN;Bhutan;Thimphu;Asia;782455;772506;743274;705516;587207;558442;415257;298894;38394;203796;10064;1
